#,Company,Symbol,Weight,Copy All Below Symbol and Paste In TradingView,","
1,Apple Inc.,AAPL,6.146311,"AAPL,",","
2,Microsoft Corporation,MSFT,5.343648,"MSFT,",","
3,Amazon.com Inc.,AMZN,2.575554,"AMZN,",","
4,Berkshire Hathaway Inc. Class B,BRK.B,1.688575,"BRK.B,",","
5,Alphabet Inc. Class A,GOOGL,1.654498,"GOOGL,",","
6,Alphabet Inc. Class C,GOOG,1.477261,"GOOG,",","
7,Exxon Mobil Corporation,XOM,1.384744,"XOM,",","
8,UnitedHealth Group Incorporated,UNH,1.352674,"UNH,",","
9,Johnson & Johnson,JNJ,1.350696,"JNJ,",","
10,NVIDIA Corporation,NVDA,1.316782,"NVDA,",","
11,JPMorgan Chase & Co.,JPM,1.217752,"JPM,",","
12,Visa Inc. Class A,V,1.090777,"V,",","
13,Procter & Gamble Company,PG,1.054688,"PG,",","
14,Tesla Inc,TSLA,1.050764,"TSLA,",","
15,Home Depot Inc.,HD,1.00676,"HD,",","
16,Chevron Corporation,CVX,0.958423,"CVX,",","
17,Mastercard Incorporated Class A,MA,0.952531,"MA,",","
18,Meta Platforms Inc. Class A,META,0.90929,"META,",","
19,Eli Lilly and Company,LLY,0.843921,"LLY,",","
20,Merck & Co. Inc.,MRK,0.83848,"MRK,",","
21,AbbVie Inc.,ABBV,0.802101,"ABBV,",","
22,Pfizer Inc.,PFE,0.767877,"PFE,",","
23,PepsiCo Inc.,PEP,0.718758,"PEP,",","
24,Bank of America Corp,BAC,0.715439,"BAC,",","
25,Coca-Cola Company,KO,0.70764,"KO,",","
26,Broadcom Inc.,AVGO,0.707062,"AVGO,",","
27,Thermo Fisher Scientific Inc.,TMO,0.691567,"TMO,",","
28,Costco Wholesale Corporation,COST,0.645131,"COST,",","
29,Walmart Inc.,WMT,0.604276,"WMT,",","
30,McDonald's Corporation,MCD,0.592187,"MCD,",","
31,Abbott Laboratories,ABT,0.590824,"ABT,",","
32,Cisco Systems Inc.,CSCO,0.585395,"CSCO,",","
33,Walt Disney Company,DIS,0.548869,"DIS,",","
34,Danaher Corporation,DHR,0.538973,"DHR,",","
35,Accenture Plc Class A,ACN,0.531607,"ACN,",","
36,Verizon Communications Inc.,VZ,0.510298,"VZ,",","
37,NextEra Energy Inc.,NEE,0.506222,"NEE,",","
38,Wells Fargo & Company,WFC,0.502494,"WFC,",","
39,Comcast Corporation Class A,CMCSA,0.502005,"CMCSA,",","
40,Linde plc,LIN,0.487444,"LIN,",","
41,NIKE Inc. Class B,NKE,0.483951,"NKE,",","
42,Adobe Incorporated,ADBE,0.48388,"ADBE,",","
43,Texas Instruments Incorporated,TXN,0.480988,"TXN,",","
44,Philip Morris International Inc.,PM,0.467763,"PM,",","
45,Bristol-Myers Squibb Company,BMY,0.466052,"BMY,",","
46,ConocoPhillips,COP,0.449064,"COP,",","
47,Salesforce Inc.,CRM,0.442154,"CRM,",","
48,Netflix Inc.,NFLX,0.441462,"NFLX,",","
49,Amgen Inc.,AMGN,0.42843,"AMGN,",","
50,Raytheon Technologies Corporation,RTX,0.428243,"RTX,",","
51,Honeywell International Inc.,HON,0.41681,"HON,",","
52,QUALCOMM Incorporated,QCOM,0.41517,"QCOM,",","
53,AT&T Inc.,T,0.412075,"T,",","
54,Oracle Corporation,ORCL,0.405095,"ORCL,",","
55,Caterpillar Inc.,CAT,0.399953,"CAT,",","
56,Lowe's Companies Inc.,LOW,0.393418,"LOW,",","
57,Union Pacific Corporation,UNP,0.391502,"UNP,",","
58,United Parcel Service Inc. Class B,UPS,0.391296,"UPS,",","
59,Morgan Stanley,MS,0.387045,"MS,",","
60,International Business Machines Corporation,IBM,0.385911,"IBM,",","
61,Charles Schwab Corp,SCHW,0.376411,"SCHW,",","
62,S&P Global Inc.,SPGI,0.368573,"SPGI,",","
63,Starbucks Corporation,SBUX,0.366399,"SBUX,",","
64,Intel Corporation,INTC,0.36144,"INTC,",","
65,Goldman Sachs Group Inc.,GS,0.360826,"GS,",","
66,Boeing Company,BA,0.356635,"BA,",","
67,Deere & Company,DE,0.355688,"DE,",","
68,CVS Health Corporation,CVS,0.352299,"CVS,",","
69,Advanced Micro Devices Inc.,AMD,0.345122,"AMD,",","
70,Prologis Inc.,PLD,0.344164,"PLD,",","
71,Elevance Health Inc.,ELV,0.343029,"ELV,",","
72,BlackRock Inc.,BLK,0.341313,"BLK,",","
73,Intuit Inc.,INTU,0.330803,"INTU,",","
74,Gilead Sciences Inc.,GILD,0.319284,"GILD,",","
75,American Tower Corporation,AMT,0.318734,"AMT,",","
76,Medtronic Plc,MDT,0.318107,"MDT,",","
77,Lockheed Martin Corporation,LMT,0.312879,"LMT,",","
78,Automatic Data Processing Inc.,ADP,0.294783,"ADP,",","
79,Citigroup Inc.,C,0.291034,"C,",","
80,Applied Materials Inc.,AMAT,0.286894,"AMAT,",","
81,Cigna Corporation,CI,0.286596,"CI,",","
82,TJX Companies Inc,TJX,0.283083,"TJX,",","
83,Chubb Limited,CB,0.27907,"CB,",","
84,Intuitive Surgical Inc.,ISRG,0.277051,"ISRG,",","
85,American Express Company,AXP,0.273317,"AXP,",","
86,Booking Holdings Inc.,BKNG,0.270791,"BKNG,",","
87,Mondelez International Inc. Class A,MDLZ,0.268098,"MDLZ,",","
88,PayPal Holdings Inc.,PYPL,0.267925,"PYPL,",","
89,T-Mobile US Inc.,TMUS,0.26608,"TMUS,",","
90,General Electric Company,GE,0.262483,"GE,",","
91,Analog Devices Inc.,ADI,0.261477,"ADI,",","
92,Stryker Corporation,SYK,0.25703,"SYK,",","
93,Marsh & McLennan Companies Inc.,MMC,0.255162,"MMC,",","
94,ServiceNow Inc.,NOW,0.254709,"NOW,",","
95,Schlumberger NV,SLB,0.246263,"SLB,",","
96,Vertex Pharmaceuticals Incorporated,VRTX,0.241787,"VRTX,",","
97,Altria Group Inc,MO,0.240103,"MO,",","
98,Duke Energy Corporation,DUK,0.239361,"DUK,",","
99,Regeneron Pharmaceuticals Inc.,REGN,0.235149,"REGN,",","
100,EOG Resources Inc.,EOG,0.229965,"EOG,",","
101,Progressive Corporation,PGR,0.228066,"PGR,",","
102,Zoetis Inc. Class A,ZTS,0.226626,"ZTS,",","
103,Target Corporation,TGT,0.225938,"TGT,",","
104,Southern Company,SO,0.224116,"SO,",","
105,Becton Dickinson and Company,BDX,0.219062,"BDX,",","
106,3M Company,MMM,0.206254,"MMM,",","
107,CSX Corporation,CSX,0.205985,"CSX,",","
108,Air Products and Chemicals Inc.,APD,0.204222,"APD,",","
109,Fiserv Inc.,FISV,0.200023,"FISV,",","
110,Moderna Inc.,MRNA,0.197876,"MRNA,",","
111,Equinix Inc.,EQIX,0.197662,"EQIX,",","
112,Aon Plc Class A,AON,0.197507,"AON,",","
113,Boston Scientific Corporation,BSX,0.196326,"BSX,",","
114,Northrop Grumman Corp.,NOC,0.196305,"NOC,",","
115,Illinois Tool Works Inc.,ITW,0.194414,"ITW,",","
116,Lam Research Corporation,LRCX,0.19372,"LRCX,",","
117,Colgate-Palmolive Company,CL,0.193164,"CL,",","
118,CME Group Inc. Class A,CME,0.19222,"CME,",","
119,Crown Castle Inc.,CCI,0.191206,"CCI,",","
120,Freeport-McMoRan Inc.,FCX,0.190256,"FCX,",","
121,Eaton Corp. Plc,ETN,0.190067,"ETN,",","
122,U.S. Bancorp,USB,0.187629,"USB,",","
123,Micron Technology Inc.,MU,0.186759,"MU,",","
124,Humana Inc.,HUM,0.18657,"HUM,",","
125,PNC Financial Services Group Inc.,PNC,0.186445,"PNC,",","
126,Truist Financial Corporation,TFC,0.184479,"TFC,",","
127,Estee Lauder Companies Inc. Class A,EL,0.184271,"EL,",","
128,Intercontinental Exchange Inc.,ICE,0.181958,"ICE,",","
129,Norfolk Southern Corporation,NSC,0.179225,"NSC,",","
130,KLA Corporation,KLAC,0.178299,"KLAC,",","
131,Sherwin-Williams Company,SHW,0.174543,"SHW,",","
132,Marathon Petroleum Corporation,MPC,0.172826,"MPC,",","
133,Waste Management Inc.,WM,0.171959,"WM,",","
134,Pioneer Natural Resources Company,PXD,0.169147,"PXD,",","
135,HCA Healthcare Inc,HCA,0.167496,"HCA,",","
136,McKesson Corporation,MCK,0.164815,"MCK,",","
137,General Dynamics Corporation,GD,0.161431,"GD,",","
138,Activision Blizzard Inc.,ATVI,0.160618,"ATVI,",","
139,Emerson Electric Co.,EMR,0.160011,"EMR,",","
140,Valero Energy Corporation,VLO,0.158825,"VLO,",","
141,General Motors Company,GM,0.157377,"GM,",","
142,Dominion Energy Inc,D,0.155878,"D,",","
143,Dollar General Corporation,DG,0.155378,"DG,",","
144,Synopsys Inc.,SNPS,0.15517,"SNPS,",","
145,O'Reilly Automotive Inc.,ORLY,0.153161,"ORLY,",","
146,Moody's Corporation,MCO,0.151259,"MCO,",","
147,Sempra Energy,SRE,0.149726,"SRE,",","
148,Phillips 66,PSX,0.149266,"PSX,",","
149,Ford Motor Company,F,0.148468,"F,",","
150,Edwards Lifesciences Corporation,EW,0.147259,"EW,",","
151,American Electric Power Company Inc.,AEP,0.144415,"AEP,",","
152,Cadence Design Systems Inc.,CDNS,0.14318,"CDNS,",","
153,Amphenol Corporation Class A,APH,0.14275,"APH,",","
154,MetLife Inc.,MET,0.142426,"MET,",","
155,Occidental Petroleum Corporation,OXY,0.142393,"OXY,",","
156,Archer-Daniels-Midland Company,ADM,0.141943,"ADM,",","
157,General Mills Inc.,GIS,0.141531,"GIS,",","
158,Roper Technologies Inc.,ROP,0.141145,"ROP,",","
159,American International Group Inc.,AIG,0.140507,"AIG,",","
160,Agilent Technologies Inc.,A,0.13925,"A,",","
161,Johnson Controls International plc,JCI,0.138044,"JCI,",","
162,Public Storage,PSA,0.136796,"PSA,",","
163,FedEx Corporation,FDX,0.136585,"FDX,",","
164,Kimberly-Clark Corporation,KMB,0.135858,"KMB,",","
165,NXP Semiconductors NV,NXPI,0.135666,"NXPI,",","
166,AutoZone Inc.,AZO,0.135332,"AZO,",","
167,Corteva Inc,CTVA,0.13377,"CTVA,",","
168,Travelers Companies Inc.,TRV,0.132067,"TRV,",","
169,Marriott International Inc. Class A,MAR,0.130695,"MAR,",","
170,Autodesk Inc.,ADSK,0.130178,"ADSK,",","
171,Centene Corporation,CNC,0.130036,"CNC,",","
172,Motorola Solutions Inc.,MSI,0.129721,"MSI,",","
173,Chipotle Mexican Grill Inc.,CMG,0.127078,"CMG,",","
174,Exelon Corporation,EXC,0.126861,"EXC,",","
175,DexCom Inc.,DXCM,0.126431,"DXCM,",","
176,Hess Corporation,HES,0.126154,"HES,",","
177,Realty Income Corporation,O,0.125905,"O,",","
178,Fidelity National Information Services Inc.,FIS,0.125619,"FIS,",","
179,Aflac Incorporated,AFL,0.12524,"AFL,",","
180,Charter Communications Inc. Class A,CHTR,0.124685,"CHTR,",","
181,IQVIA Holdings Inc,IQV,0.124584,"IQV,",","
182,Biogen Inc.,BIIB,0.124458,"BIIB,",","
183,Ross Stores Inc.,ROST,0.124298,"ROST,",","
184,Devon Energy Corporation,DVN,0.124213,"DVN,",","
185,MSCI Inc. Class A,MSCI,0.12392,"MSCI,",","
186,Dow Inc.,DOW,0.123681,"DOW,",","
187,Newmont Corporation,NEM,0.123588,"NEM,",","
188,Microchip Technology Incorporated,MCHP,0.123278,"MCHP,",","
189,Arthur J. Gallagher & Co.,AJG,0.122349,"AJG,",","
190,Trane Technologies plc,TT,0.122201,"TT,",","
191,IDEXX Laboratories Inc.,IDXX,0.121412,"IDXX,",","
192,Nucor Corporation,NUE,0.120863,"NUE,",","
193,Simon Property Group Inc.,SPG,0.120567,"SPG,",","
194,TE Connectivity Ltd.,TEL,0.119451,"TEL,",","
195,Sysco Corporation,SYY,0.119308,"SYY,",","
196,Parker-Hannifin Corporation,PH,0.119222,"PH,",","
197,Capital One Financial Corp,COF,0.11849,"COF,",","
198,Monster Beverage Corporation,MNST,0.11739,"MNST,",","
199,Williams Companies Inc.,WMB,0.116938,"WMB,",","
200,Xcel Energy Inc.,XEL,0.114387,"XEL,",","
201,Paychex Inc.,PAYX,0.114306,"PAYX,",","
202,Cintas Corporation,CTAS,0.114181,"CTAS,",","
203,Ecolab Inc.,ECL,0.112297,"ECL,",","
204,Halliburton Company,HAL,0.112072,"HAL,",","
205,L3Harris Technologies Inc,LHX,0.111757,"LHX,",","
206,Hilton Worldwide Holdings Inc,HLT,0.111673,"HLT,",","
207,DuPont de Nemours Inc.,DD,0.111053,"DD,",","
208,Prudential Financial Inc.,PRU,0.11097,"PRU,",","
209,Carrier Global Corp.,CARR,0.110969,"CARR,",","
210,Yum! Brands Inc.,YUM,0.110918,"YUM,",","
211,Kinder Morgan Inc Class P,KMI,0.110268,"KMI,",","
212,Bank of New York Mellon Corp,BK,0.109681,"BK,",","
213,Allstate Corporation,ALL,0.108452,"ALL,",","
214,Constellation Brands Inc. Class A,STZ,0.108361,"STZ,",","
215,Ameriprise Financial Inc.,AMP,0.107561,"AMP,",","
216,PACCAR Inc,PCAR,0.105443,"PCAR,",","
217,TransDigm Group Incorporated,TDG,0.104966,"TDG,",","
218,Mettler-Toledo International Inc.,MTD,0.1049,"MTD,",","
219,Otis Worldwide Corporation,OTIS,0.103997,"OTIS,",","
220,Cummins Inc.,CMI,0.102998,"CMI,",","
221,Welltower Inc,WELL,0.102921,"WELL,",","
222,Enphase Energy Inc.,ENPH,0.102691,"ENPH,",","
223,Consolidated Edison Inc.,ED,0.10069,"ED,",","
224,ResMed Inc.,RMD,0.100626,"RMD,",","
225,Electronic Arts Inc.,EA,0.098984,"EA,",","
226,Keysight Technologies Inc,KEYS,0.098935,"KEYS,",","
227,Illumina Inc.,ILMN,0.098425,"ILMN,",","
228,AMETEK Inc.,AME,0.098111,"AME,",","
229,CoStar Group Inc.,CSGP,0.096531,"CSGP,",","
230,Hershey Company,HSY,0.096446,"HSY,",","
