account_rewards,date
14298.95073236106,2021-12-01
-8823.843566894648,2021-12-02
11905.55322265625,2021-12-03
21039.86883544922,2021-12-06
2749.1305541992188,2021-12-07
-7028.027648925665,2021-12-08
9732.87457275379,2021-12-09
-9245.128967285156,2021-12-10
-7116.803466796875,2021-12-13
16051.529907226562,2021-12-14
-9200.845336914062,2021-12-15
-11006.185363769531,2021-12-16
-10879.4521484375,2021-12-17
17976.651245117188,2021-12-20
10300.984191894531,2021-12-21
6474.447509765625,2021-12-22
14817.427856445429,2021-12-23
-867.7366943359375,2021-12-27
1357.2202758789062,2021-12-28
-2936.8319702148438,2021-12-29
-2669.809326171875,2021-12-30
6118.301452636719,2021-12-31
-356.00701904296875,2022-01-03
-20401.75354003918,2022-01-04
-979.0366821289062,2022-01-05
-4115.9444580078125,2022-01-06
-1290.4124755859375,2022-01-07
9433.386535644531,2022-01-10
2825.531982421875,2022-01-11
-14439.105224609375,2022-01-12
422.60626220703125,2022-01-13
-18310.481689453125,2022-01-14
-10545.7607421875,2022-01-18
-11124.228698730352,2022-01-19
-19511.90979003918,2022-01-20
4138.121032714844,2022-01-21
-11947.334167480469,2022-01-24
-2425.102294921875,2022-01-25
-4761.150695800781,2022-01-26
23828.069091796875,2022-01-27
17709.837158203125,2022-01-28
6763.577209472656,2022-01-31
9789.184997558594,2022-02-01
-23917.053466796875,2022-02-02
4672.166320800781,2022-02-03
-3203.715576171875,2022-02-04
8187.466247558594,2022-02-07
14683.88177490246,2022-02-08
-18288.235595703125,2022-02-09
-19712.12463378918,2022-02-10
-3203.7850952148438,2022-02-11
15751.972351074219,2022-02-14
1112.3742065429688,2022-02-15
-21225.06756591797,2022-02-16
-6296.270202636719,2022-02-17
-10367.7919921875,2022-02-18
-16953.330932617188,2022-02-22
14127.72943115246,2022-02-23
21024.852722167852,2022-02-24
-2491.7710571289062,2022-02-25
-14795.181762695196,2022-02-28
17598.46765136707,2022-03-01
-4850.20458984375,2022-03-02
-7875.951416015625,2022-03-03
-28344.512756347656,2022-03-04
-7075.02252197254,2022-03-07
24829.282348632696,2022-03-08
-4293.982727050781,2022-03-09
-12036.527099609375,2022-03-10
-6830.10693359375,2022-03-11
20401.82305908203,2022-03-14
21024.85272216797,2022-03-15
12125.372436523438,2022-03-16
10748.061157226562,2022-03-17
-290.10296630859375,2022-03-18
11605.091918945429,2022-03-21
-12921.852111816523,2022-03-22
14930.396301269648,2022-03-23
4909.92144775379,2022-03-24
7186.322509765625,2022-03-25
12587.048400878906,2022-03-28
-6360.366760253906,2022-03-29
-15756.282531738165,2022-03-30
2856.60699462879,2022-03-31
8659.152954101562,2022-04-01
-12877.220886230352,2022-04-04
-10065.175598144648,2022-04-05
5021.49951171875,2022-04-06
-2678.2211303709773,2022-04-07
-17072.903686523554,2022-04-08
-3637.79248046875,2022-04-11
11203.480407714844,2022-04-12
-12319.261047363165,2022-04-13
401.75054931628983,2022-04-14
15778.459106445312,2022-04-18
-736.5542602539062,2022-04-19
-14841.064331054571,2022-04-20
-26825.73022460949,2022-04-21
5512.373474121094,2022-04-22
-27696.108642578125,2022-04-25
2611.13525390625,2022-04-26
23522.671936035273,2022-04-27
-35284.042663574335,2022-04-28
5534.828125,2022-04-29
4240.314025878906,2022-05-02
28298.63018798828,2022-05-03
-34034.22930908203,2022-05-04
-5512.512512207031,2022-05-05
-29392.16473388672,2022-05-06
2053.1754150390625,2022-05-09
-14149.419372558594,2022-05-10
-914.9401245117188,2022-05-11
