,daily_return,date
0,1.0,2000-01-03
1,1.0,2000-01-04
2,1.0,2000-01-05
3,1.0,2000-01-06
4,1.0,2000-01-07
5,1.0,2000-01-10
6,1.0,2000-01-11
7,1.0,2000-01-12
8,1.0,2000-01-13
9,1.0,2000-01-14
10,1.0,2000-01-18
11,1.0081440069196224,2000-01-19
12,1.0081440069196224,2000-01-20
13,1.0081440069196224,2000-01-21
14,1.0081440069196224,2000-01-24
15,1.019592743191372,2000-01-25
16,1.019592743191372,2000-01-26
17,1.019592743191372,2000-01-27
18,0.9877877934534639,2000-01-28
19,1.0145950283966048,2000-01-31
20,1.024591566561776,2000-02-01
21,1.024591566561776,2000-02-02
22,1.024591566561776,2000-02-03
23,1.024591566561776,2000-02-04
24,1.024591566561776,2000-02-07
25,1.024591566561776,2000-02-08
26,1.024591566561776,2000-02-09
27,1.024591566561776,2000-02-10
28,1.024591566561776,2000-02-11
29,1.0305946661656968,2000-02-14
30,1.0305946661656968,2000-02-15
31,1.0305946661656968,2000-02-16
32,1.0305946661656968,2000-02-17
33,1.0305946661656968,2000-02-18
34,1.0305946661656968,2000-02-22
35,1.0305946661656968,2000-02-23
36,1.0305946661656968,2000-02-24
37,1.0305946661656968,2000-02-25
38,1.0305946661656968,2000-02-28
39,1.0305946661656968,2000-02-29
40,1.0380930886976014,2000-03-01
41,1.0387959696047375,2000-03-02
42,1.0582460063299766,2000-03-03
43,1.0479350046607196,2000-03-06
44,1.0276657171822499,2000-03-07
45,1.0276657171822499,2000-03-08
46,1.0276657171822499,2000-03-09
47,1.0276657171822499,2000-03-10
48,1.0276657171822499,2000-03-13
49,1.013067610635156,2000-03-14
50,1.013067610635156,2000-03-15
51,1.013067610635156,2000-03-16
52,1.0197632146168525,2000-03-17
53,1.0145583015152022,2000-03-20
54,1.0353783599275992,2000-03-21
55,1.0416678769122854,2000-03-22
56,1.0594521487879454,2000-03-23
57,1.0657412597668359,2000-03-24
58,1.0657412597668359,2000-03-27
59,1.0657412597668359,2000-03-28
60,1.0657412597668359,2000-03-29
61,1.0657412597668359,2000-03-30
62,1.0657412597668359,2000-03-31
63,1.0657412597668359,2000-04-03
64,1.0578141497141655,2000-04-04
65,1.0578141497141655,2000-04-05
66,1.0578141497141655,2000-04-06
67,1.0578141497141655,2000-04-07
68,1.0578141497141655,2000-04-10
69,1.0578141497141655,2000-04-11
70,1.0578141497141655,2000-04-12
71,1.0578141497141655,2000-04-13
72,1.0578141497141655,2000-04-14
73,1.0578141497141655,2000-04-17
74,1.0578141497141655,2000-04-18
75,1.0578141497141655,2000-04-19
76,1.0578141497141655,2000-04-20
77,1.0578141497141655,2000-04-24
78,1.0578141497141655,2000-04-25
79,1.0578141497141655,2000-04-26
80,1.0578141497141655,2000-04-27
81,1.0578141497141655,2000-04-28
82,1.072167565268167,2000-05-01
83,1.0507516178998852,2000-05-02
84,1.0507516178998852,2000-05-03
85,1.0586830587849665,2000-05-04
86,1.0586830587849665,2000-05-05
87,1.0586830587849665,2000-05-08
88,1.050206084268989,2000-05-09
89,1.050206084268989,2000-05-10
90,1.050206084268989,2000-05-11
91,1.050206084268989,2000-05-12
92,1.050206084268989,2000-05-15
93,1.050206084268989,2000-05-16
94,1.050206084268989,2000-05-17
95,1.050206084268989,2000-05-18
96,1.050206084268989,2000-05-19
97,1.050206084268989,2000-05-22
98,1.050206084268989,2000-05-23
99,1.050206084268989,2000-05-24
100,1.050206084268989,2000-05-25
101,1.050206084268989,2000-05-26
102,1.050206084268989,2000-05-30
103,1.0525094434942228,2000-05-31
104,1.0525094434942228,2000-06-01
105,1.0525094434942228,2000-06-02
106,1.0525094434942228,2000-06-05
107,1.0525094434942228,2000-06-06
108,1.0525094434942228,2000-06-07
109,1.0525094434942228,2000-06-08
110,1.0525094434942228,2000-06-09
111,1.0401697499653313,2000-06-12
112,1.0401697499653313,2000-06-13
113,1.0401697499653313,2000-06-14
114,1.0401697499653313,2000-06-15
115,1.0401697499653313,2000-06-16
116,1.0534743137016358,2000-06-19
117,1.0534743137016358,2000-06-20
118,1.0534743137016358,2000-06-21
119,1.0534743137016358,2000-06-22
120,1.0534743137016358,2000-06-23
121,1.067041311402111,2000-06-26
122,1.067041311402111,2000-06-27
123,1.067041311402111,2000-06-28
124,1.067041311402111,2000-06-29
125,1.067041311402111,2000-06-30
126,1.067041311402111,2000-07-03
127,1.067041311402111,2000-07-05
128,1.075341540516314,2000-07-06
129,1.092633641443429,2000-07-07
