,0
0,3082432.1210892634
1,3377537.903272004
2,2954375.8175736074
3,1648332.09083926
4,1475999.2616817236
5,1774522.2006080153
6,4479564.610873454
7,3342113.0834334777
8,3633486.7924499316
9,2766391.3099033777
10,3471744.736252463
11,2971028.3636206803
12,2523512.623940212
13,3115390.8623562744
14,3405471.995259658
15,4454823.147056957
16,4522130.486237515
17,7535482.517298602
18,6380367.641385736
19,4941965.299334274
20,6296539.596016417
21,5245872.613943654
22,5155907.667139384
23,7520586.132325325
24,4344700.969696035
25,3942447.927849064
26,19884198.55004767
27,7431430.479424455
28,19555110.653185546
29,14001573.454902293
30,8931336.174731988
31,14564332.1093273
32,8785333.336726421
33,21201027.959036313
34,10686981.736952204
35,11926940.855875762
36,18669478.286574505
37,28747757.427027762
38,29891745.025356013
39,38016489.520989805
40,48827135.81814791
41,23096342.763186008
42,40944652.94347629
43,14677966.447222212
44,27848010.185903635
45,37894272.26930451
46,29606459.063329473
47,46741026.35659804
48,60183676.48811718
49,46468082.354349494
50,46714415.60811533
51,87853565.22655004
52,32203776.70414862
53,60102414.04471359
54,59421275.25925754
55,69270245.11232018
56,105776097.56758736
57,67317081.19302292
58,131611478.76898925
59,83640390.34277555
60,52227565.087924585
61,72413526.35385512
62,50961429.57580193
63,55781075.699815504
64,137508516.16292065
65,162234565.33761284
66,89053390.03364798
67,143700761.91105568
68,99897117.2217092
69,136893070.89952493
70,208122041.9714616
71,144063418.80513692
72,250682403.0834334
73,406198010.53870624
74,272239570.0570609
75,116106003.95502262
76,366605138.3283784
77,254263319.75390106
78,215294199.3927774
79,223327298.362976
80,148010926.99821645
81,291651887.6119491
82,562116756.7987007
83,395335118.87201464
84,215369328.36687875
85,312191734.1784994
86,429659367.3083293
87,225794917.16838187
88,632650182.0149943
89,316661624.19425297
90,354450273.85868067
91,383818223.95701367
92,257537215.8590717
93,354245323.4636393
94,325834127.3042027
95,554417636.48538
96,367526387.36538005
97,734327151.1240516
98,343220382.790434
99,414312238.0421145
100,6298637831.638797
