,0
0,2915539.224852273
1,2142851.968939678
2,1051466.611898365
3,2077022.1981883887
4,1199372.2323188724
5,891578.4037129888
6,3203896.879934342
7,977924.8828782195
8,3777398.734156913
9,2879537.938129426
10,1196566.8173664527
11,1446437.20848963
12,827927.9151585749
13,1972251.0090532345
14,1516163.017449683
15,997501.0285125683
16,1009957.1343776402
17,1022761.7443178387
18,1859044.5670158565
19,1573624.2739439637
20,890062.0842795892
21,1447896.0451410122
22,1530745.824280913
23,2446332.882357211
24,1787114.583820013
25,1107721.381301874
26,1898216.2152760797
27,2042617.6748123465
28,1468369.2549311705
29,1390014.026705761
30,1186238.7540573203
31,3953265.9431412304
32,1745800.7659005013
33,1516120.5700384378
34,1003815.7152198276
35,771065.9712304884
36,885835.3495569694
37,1034640.667335839
38,2182033.327909729
39,1160571.784253928
40,1209001.6795959244
41,1109524.4762877147
42,1196134.9577613545
43,1767997.5008780023
44,1260322.4286478097
45,1344108.799863499
46,2413566.3719707085
47,479674.9042041209
48,1196568.9218950004
49,658849.1357213064
50,574061.9617691975
51,799853.3793938233
52,3326307.4349074294
53,3173944.3029780127
54,1935303.6579830651
55,3192331.840194248
56,1234847.6912385426
57,1145055.206928755
58,847712.8539962434
59,1801443.3438977655
60,1567304.2310544532
61,2156408.075304417
62,1650896.5798682072
63,2268634.1062241998
64,1213255.9177705618
65,2070775.4779301567
66,1189616.9889888472
67,1072396.25769091
68,1286863.2320207166
69,891652.6874932807
70,1846208.0249000147
71,1232405.3579965641
72,1480774.166367426
73,1368927.301666519
74,950267.7195777277
75,1619095.344111097
76,1619313.8577027568
77,1954835.3088280838
78,1068910.9390166502
79,1186621.993882871
80,1914806.8179536758
81,758501.3475043807
82,605102.0377936527
83,1010476.9326537732
84,1643047.2896374261
85,971067.2096732596
86,1730304.1919191503
87,1056595.5828972526
88,1591230.4834989253
89,1384778.1088518626
90,1046052.0557734191
91,1097381.8181740078
92,1556530.6735505278
93,1118982.6605587052
94,1040889.1440504056
95,1121143.2361156559
96,1604777.7663880861
97,981833.9637906972
98,1210931.8478087496
99,1254127.8003881865
100,1000000.0
