,0
0,2682185.3147866814
1,1843883.557907758
2,1213065.6799026597
3,3223798.8774691294
4,2662397.8858567076
5,4009099.194072951
6,3018935.7998039373
7,927975.2549354009
8,2079979.220514036
9,1813199.6595611747
10,4059926.554158925
11,1746890.6861108073
12,3467536.258957928
13,1568705.4117740507
14,1365604.7879632884
15,1378383.4467567897
16,3385900.953444894
17,2437955.7002098006
18,782858.9155624646
19,2854479.7439158396
20,998780.3768555818
21,1696542.4717251179
22,846181.4530205199
23,1844062.7387902576
24,1345868.952011849
25,1891511.769824267
26,2299713.0240969243
27,1289943.8467961466
28,1528132.8947402178
29,1151941.8706745114
30,2152966.9721932947
31,403119.51822588407
32,1145522.5173942598
33,614948.27195658
34,1269080.0840517257
35,1020056.6500553653
36,2049838.5140063176
37,1103026.4395603563
38,1364418.2919722176
39,618746.9278404874
40,1933952.0167682765
41,2138380.6107947133
42,1060460.0746917375
43,1654099.3536680301
44,1305181.8820673781
45,2734546.3796585547
46,2781009.7853766945
47,1414392.627944631
48,1929140.427936819
49,1983322.6549392827
50,1639183.9927041666
51,2121106.9480373836
52,1385806.175155258
53,1124517.037749019
54,1296287.3877834068
55,1298656.0115993705
56,1581200.8451991116
57,1435689.1372466332
58,1931523.664800789
59,1857968.369508673
60,830962.1811316673
61,2656341.452729087
62,3256645.572281237
63,1052211.2706002842
64,1253132.1076947758
65,2588243.7975263875
66,930445.2326114587
67,1446528.0054442026
68,1645675.6531990971
69,1359600.7127613411
70,631838.7869197503
71,1513566.8376769754
72,940036.1085068752
73,1699496.4364117708
74,1407425.1788901007
75,1203874.8946100727
76,909661.8632507871
77,680144.1584046481
78,739020.9336286609
79,545811.1018637248
80,1736103.8344989922
81,1788584.430997134
82,2497526.3933471865
83,831802.3048075349
84,999350.0100024467
85,1353474.5874993417
86,1015367.8283386505
87,745318.3442524932
88,1581020.4712222528
89,923492.8398227884
90,879052.1421096034
91,1073530.9820125515
92,1218909.6963532788
93,1418941.6761583928
94,975329.1263349871
95,2731151.7734966287
96,1200094.3164747548
97,1772635.6428802512
98,1153204.1719227133
99,1263249.8112095504
100,1000000.0
