,0
0,4331609.937943323
1,5825248.22495393
2,1449657.4930349337
3,3191118.682888308
4,2420947.158493124
5,2065637.382401891
6,3288217.909899551
7,2514668.6945076985
8,2679610.969495158
9,2141159.347891196
10,3323951.014086118
11,4634064.510466162
12,2390947.3050736054
13,3821274.492270404
14,2508797.7760827965
15,2520286.9521859176
16,2767167.443422557
17,3134887.317347098
18,3014193.556016624
19,2449587.9449496325
20,6298739.316421461
21,4482538.5719968015
22,6992183.024693495
23,3747461.906848064
24,4233483.947313553
25,5489195.838791614
26,7442209.961770395
27,5303128.551946578
28,4950625.833019931
29,7194986.893157393
30,5489795.364437668
31,4833660.515037946
32,6155777.472322184
33,3507098.371070431
34,11143291.154327843
35,8905857.929370504
36,26693806.192125853
37,8964782.445724295
38,9606592.39137916
39,21089724.075850394
40,13835350.58097842
41,8744302.13212154
42,9991732.373162895
43,19902783.991953213
44,32809337.36129004
45,11339442.211703354
46,9304107.49124015
47,15317861.42224438
48,19427839.992694795
49,10067520.803738223
50,24260783.25113667
51,18631256.945482086
52,11424995.08703935
53,17130347.283054642
54,23827088.80015469
55,11421869.065429261
56,21190093.151714366
57,19830969.993816722
58,23185643.17455628
59,35096822.06506493
60,39251542.259965554
61,25499701.411858313
62,60264398.63053196
63,58272664.19533528
64,40005473.219689414
65,50597427.59202007
66,51094995.067409255
67,55358307.20750175
68,100749890.78582303
69,62485723.81532776
70,54211547.38766996
71,64191960.122728266
72,61433761.76043622
73,75160714.24452254
74,68219775.25650613
75,117624354.78930664
76,93477555.81089276
77,102472424.32240513
78,64676108.88046932
79,77533711.08547698
80,104691479.89891988
81,114698330.7036473
82,101028632.07375367
83,133044696.68817982
84,155051341.26673222
85,100594752.54896048
86,91798310.18944216
87,301444506.43829656
88,340621200.79949915
89,155752828.65992823
90,117915990.88543168
91,170423426.10213873
92,256124075.81510007
93,100229213.32016756
94,271709252.01040316
95,250139692.44088325
96,280598727.03210807
97,245995112.5486852
98,284423136.038427
99,199146775.62741035
100,241996294.00208974
101,259094417.58550596
102,169331789.89727554
103,176311496.015675
104,252487379.66042498
105,803278222.5673047
106,263829969.97287947
107,372364744.18098557
108,363393085.33924997
109,417966113.0968668
110,239012729.82523468
111,196842748.84598324
112,221252707.625828
113,441879503.2988944
114,325795786.9671043
115,763898558.3127728
116,336895880.1405287
117,354292383.317915
