account_rewards,date
0.0,2000-01-03
0.0,2000-01-04
-557.9658764600754,2000-01-05
254.95623230934143,2000-01-06
697.6298339753412,2000-01-07
-724.5790266870754,2000-01-10
-518.4549655030714,2000-01-11
488.29882311820984,2000-01-12
871.1859514713287,2000-01-13
542.7431477308273,2000-01-14
-181.45381797209848,2000-01-18
-68.60878129478078,2000-01-19
-359.1895079612732,2000-01-20
-1576.8023526994511,2000-01-21
-258.56095430254936,2000-01-24
-858.4657967090607,2000-01-25
-1285.9073436474428,2000-01-26
-704.0601665376453,2000-01-27
-217.0924585312605,2000-01-28
761.5150610208511,2000-01-31
862.7970834634034,2000-02-01
575.8326462757541,2000-02-02
1023.7425315838773,2000-02-03
-2277.9369012713432,2000-02-04
1292.159770309925,2000-02-07
518.1751977801323,2000-02-08
3727.4900474533206,2000-02-09
314.8367772777565,2000-02-10
2371.0294289299054,2000-02-11
-605.2920234334888,2000-02-14
543.7758667536546,2000-02-15
495.671395325684,2000-02-16
1280.483912113239,2000-02-17
-715.2067978382111,2000-02-18
56.26686954498291,2000-02-22
-159.92008975881618,2000-02-23
-1033.0496582789347,2000-02-24
-39.28492987155914,2000-02-25
814.5450097322464,2000-02-28
-323.4534904807806,2000-02-29
-1522.5944955348969,2000-03-01
203.49170208605938,2000-03-02
-167.46194767951965,2000-03-03
5582.01041996479,2000-03-06
251.97140365606174,2000-03-07
4668.662511749659,2000-03-08
6414.336347038276,2000-03-09
17286.96602487564,2000-03-10
-22600.1391307147,2000-03-13
-2760.2023706483888,2000-03-14
-5446.279523662059,2000-03-15
3776.849606871605,2000-03-16
-48.082535034627654,2000-03-17
-3029.9761669703294,2000-03-20
284.2940936891828,2000-03-21
845.9521719524637,2000-03-22
-2533.515965160099,2000-03-23
-2649.8256701231003,2000-03-24
-4052.2411766052246,2000-03-27
-2298.272019147873,2000-03-28
-253.13080599054229,2000-03-29
6137.1242197633255,2000-03-30
-5058.332880571485,2000-03-31
-2760.0290842056274,2000-04-03
16138.894525421085,2000-04-04
3810.822468666709,2000-04-05
5015.189688827493,2000-04-06
-5165.97208571434,2000-04-07
-3968.381437703152,2000-04-10
-7446.800554218236,2000-04-11
-2870.266841377248,2000-04-12
-5675.821123935166,2000-04-13
2613.75675266271,2000-04-14
9056.06767010782,2000-04-17
-2112.065582752228,2000-04-18
-245.23895227257162,2000-04-19
-1465.2231497764587,2000-04-20
1666.7161323752953,2000-04-24
-340.02694110153243,2000-04-25
2990.0539283311227,2000-04-26
-1192.701108455658,2000-04-27
1844.7955875396729,2000-04-28
-2841.874419303378,2000-05-01
-1007.2292656552745,2000-05-02
518.2616944313049,2000-05-03
1251.8763689994812,2000-05-04
-1560.671136375633,2000-05-05
-378.1511607534485,2000-05-08
-1335.5317257185234,2000-05-09
-12.103533968911506,2000-05-10
0.0,2000-05-11
0.0,2000-05-12
0.0,2000-05-15
3135.946480035782,2000-05-16
-146.12578714254778,2000-05-17
-1.7423923856113106,2000-05-18
0.0,2000-05-19
0.0,2000-05-22
-223.27368541888427,2000-05-23
-103.66781529516447,2000-05-24
-6.6031444215914235,2000-05-25
467.76099639746826,2000-05-26
-12.126664571231231,2000-05-30
296.6657723665703,2000-05-31
3097.9640594463563,2000-06-01
923.3276597618824,2000-06-02
-968.1999526023865,2000-06-05
-292.88121854211204,2000-06-06
194.81951960851438,2000-06-07
293.2787637269357,2000-06-08
-657.863693394931,2000-06-09
19.585762534639798,2000-06-12
-1.3684673823881894,2000-06-13
59.615268066409044,2000-06-14
2029.2150820207316,2000-06-15
1419.7310497494182,2000-06-16
-24.22036513092462,2000-06-19
3016.3810658454895,2000-06-20
-2733.2754559726454,2000-06-21
-3304.4202685141936,2000-06-22
2896.6998975870665,2000-06-23
-26.960562586784363,2000-06-26
0.0,2000-06-27
-851.8781980976928,2000-06-28
-5.022502418491058,2000-06-29
0.0,2000-06-30
-2532.1604919433594,2000-07-03
47.362653427175246,2000-07-05
103.67587089538574,2000-07-06
658.4094200964319,2000-07-07
-13.641928081517108,2000-07-10
