,date,actions
0,2000-01-03,[0]
1,2000-01-04,[0]
2,2000-01-05,[10000]
3,2000-01-06,[10000]
4,2000-01-07,[6749]
5,2000-01-10,[-5217]
6,2000-01-11,[3846]
7,2000-01-12,[-10000]
8,2000-01-13,[10000]
9,2000-01-14,[-10000]
10,2000-01-18,[5722]
11,2000-01-19,[5580]
12,2000-01-20,[10000]
13,2000-01-21,[4466]
14,2000-01-24,[-5725]
15,2000-01-25,[-10000]
16,2000-01-26,[6120]
17,2000-01-27,[1161]
18,2000-01-28,[3250]
19,2000-01-31,[10000]
20,2000-02-01,[-3349]
21,2000-02-02,[5970]
22,2000-02-03,[8934]
23,2000-02-04,[-10000]
24,2000-02-07,[-10000]
25,2000-02-08,[-10000]
26,2000-02-09,[-4202]
27,2000-02-10,[-1261]
28,2000-02-11,[-6498]
29,2000-02-14,[-1511]
30,2000-02-15,[-2871]
31,2000-02-16,[1450]
32,2000-02-17,[-3018]
33,2000-02-18,[10000]
34,2000-02-22,[-10000]
35,2000-02-23,[3429]
36,2000-02-24,[274]
37,2000-02-25,[-10000]
38,2000-02-28,[10000]
39,2000-02-29,[-4425]
40,2000-03-01,[10000]
41,2000-03-02,[-7081]
42,2000-03-03,[10000]
43,2000-03-06,[-10000]
44,2000-03-07,[8398]
45,2000-03-08,[-5177]
46,2000-03-09,[3964]
47,2000-03-10,[10000]
48,2000-03-13,[1237]
49,2000-03-14,[1830]
50,2000-03-15,[-7234]
51,2000-03-16,[10000]
52,2000-03-17,[-9094]
53,2000-03-20,[6261]
54,2000-03-21,[-9089]
55,2000-03-22,[3537]
56,2000-03-23,[6055]
57,2000-03-24,[-10000]
58,2000-03-27,[10000]
59,2000-03-28,[-10000]
60,2000-03-29,[6647]
61,2000-03-30,[4100]
62,2000-03-31,[6725]
63,2000-04-03,[10000]
64,2000-04-04,[646]
65,2000-04-05,[-3611]
66,2000-04-06,[-7279]
67,2000-04-07,[-10000]
68,2000-04-10,[7488]
69,2000-04-11,[5445]
70,2000-04-12,[1808]
71,2000-04-13,[262]
72,2000-04-14,[-5705]
73,2000-04-17,[-2018]
74,2000-04-18,[-10000]
75,2000-04-19,[1973]
76,2000-04-20,[-10000]
77,2000-04-24,[-8473]
78,2000-04-25,[8970]
79,2000-04-26,[3335]
80,2000-04-27,[10000]
81,2000-04-28,[800]
82,2000-05-01,[7934]
83,2000-05-02,[-5190]
84,2000-05-03,[-10000]
85,2000-05-04,[-10000]
86,2000-05-05,[7645]
87,2000-05-08,[-8779]
88,2000-05-09,[-7176]
89,2000-05-10,[-8028]
90,2000-05-11,[0]
91,2000-05-12,[0]
92,2000-05-15,[0]
93,2000-05-16,[10000]
94,2000-05-17,[-9115]
95,2000-05-18,[-885]
96,2000-05-19,[0]
97,2000-05-22,[0]
98,2000-05-23,[7877]
99,2000-05-24,[-4587]
100,2000-05-25,[-3290]
101,2000-05-26,[5774]
102,2000-05-30,[-5774]
103,2000-05-31,[5050]
104,2000-06-01,[6376]
105,2000-06-02,[5930]
106,2000-06-05,[-10000]
107,2000-06-06,[-4769]
108,2000-06-07,[9524]
109,2000-06-08,[-7465]
110,2000-06-09,[5351]
111,2000-06-12,[-9433]
112,2000-06-13,[-564]
113,2000-06-14,[979]
114,2000-06-15,[4460]
115,2000-06-16,[2524]
116,2000-06-19,[-7963]
117,2000-06-20,[10000]
118,2000-06-21,[5059]
119,2000-06-22,[-3902]
120,2000-06-23,[-2657]
121,2000-06-26,[-8500]
122,2000-06-27,[0]
123,2000-06-28,[2241]
124,2000-06-29,[-2241]
125,2000-06-30,[0]
126,2000-07-03,[10000]
127,2000-07-05,[-9470]
128,2000-07-06,[10000]
129,2000-07-07,[-4698]
130,2000-07-10,[-5832]
131,2000-07-11,[3929]
132,2000-07-12,[-1847]
133,2000-07-13,[2954]
134,2000-07-14,[9284]
135,2000-07-17,[10000]
136,2000-07-18,[-3895]
137,2000-07-19,[10000]
138,2000-07-20,[-56]
139,2000-07-21,[10000]
140,2000-07-24,[-2541]
141,2000-07-25,[652]
142,2000-07-26,[3724]
143,2000-07-27,[-10000]
144,2000-07-28,[-3509]
145,2000-07-31,[-10000]
146,2000-08-01,[-6236]
147,2000-08-02,[10000]
148,2000-08-03,[-10000]
149,2000-08-04,[2212]
150,2000-08-07,[-8230]
151,2000-08-08,[-599]
152,2000-08-09,[-5842]
153,2000-08-10,[10000]
154,2000-08-11,[588]
155,2000-08-14,[10000]
156,2000-08-15,[-10000]
157,2000-08-16,[-10000]
158,2000-08-17,[-588]
159,2000-08-18,[0]
160,2000-08-21,[0]
161,2000-08-22,[0]
162,2000-08-23,[1607]
163,2000-08-24,[7884]
164,2000-08-25,[-177]
165,2000-08-28,[360]
166,2000-08-29,[-8521]
167,2000-08-30,[-165]
168,2000-08-31,[-988]
169,2000-09-01,[10000]
170,2000-09-05,[-5181]
171,2000-09-06,[-4819]
172,2000-09-07,[276]
173,2000-09-08,[-276]
174,2000-09-11,[0]
175,2000-09-12,[7241]
176,2000-09-13,[2274]
177,2000-09-14,[1740]
178,2000-09-15,[-951]
179,2000-09-18,[-10000]
180,2000-09-19,[-304]
181,2000-09-20,[836]
182,2000-09-21,[-836]
183,2000-09-22,[0]
184,2000-09-25,[326]
185,2000-09-26,[7609]
186,2000-09-27,[4548]
187,2000-09-28,[433]
188,2000-09-29,[5519]
189,2000-10-02,[-3426]
190,2000-10-03,[2381]
191,2000-10-04,[1953]
192,2000-10-05,[-10000]
